order_id,customer_id,order_date,status
1001,1,2024-03-01,Delivered
1002,2,2024-03-02,Delivered
1003,3,2024-03-03,Cancelled
1004,4,2024-03-04,Shipped
1005,5,2024-03-05,Delivered
1006,6,2024-03-06,Delivered
1007,7,2024-03-07,Pending
1008,8,2024-03-08,Shipped
1009,9,2024-03-09,Delivered
1010,10,2024-03-10,Cancelled
1011,11,2024-03-11,Delivered
1012,12,2024-03-12,Pending
1013,13,2024-03-13,Shipped
1014,14,2024-03-14,Delivered
1015,15,2024-03-15,Delivered
1016,16,2024-03-16,Cancelled
1017,17,2024-03-17,Shipped
1018,18,2024-03-18,Delivered
1019,19,2024-03-19,Pending
1020,20,2024-03-20,Delivered
1021,21,2024-03-21,Delivered
1022,22,2024-03-22,Shipped
1023,23,2024-03-23,Delivered
1024,24,2024-03-24,Cancelled
1025,25,2024-03-25,Delivered
1026,26,2024-03-26,Delivered
1027,27,2024-03-27,Pending
1028,28,2024-03-28,Delivered
1029,29,2024-03-29,Shipped
1030,30,2024-03-30,Delivered
1031,31,2024-04-01,Cancelled
1032,32,2024-04-02,Delivered
1033,33,2024-04-03,Shipped
1034,34,2024-04-04,Delivered
1035,35,2024-04-05,Delivered
1036,36,2024-04-06,Pending
1037,37,2024-04-07,Shipped
1038,38,2024-04-08,Delivered
1039,39,2024-04-09,Cancelled
1040,40,2024-04-10,Delivered
1041,41,2024-04-11,Delivered
1042,42,2024-04-12,Shipped
1043,43,2024-04-13,Delivered
1044,44,2024-04-14,Delivered
1045,45,2024-04-15,Pending
1046,46,2024-04-16,Delivered
1047,47,2024-04-17,Shipped
1048,48,2024-04-18,Delivered
1049,49,2024-04-19,Delivered
1050,50,2024-04-20,Delivered
